d       s       a       m_i     
437     12      1423    1 1 5 13 29 3 85 173 139 51 929 3407 
438     12      1451    1 3 5 3 25 13 19 91 285 309 105 2331 
439     12      1480    1 3 7 7 13 23 103 7 435 571 731 431 
440     12      1491    1 1 3 11 23 3 29 25 369 941 2031 2311 
441     12      1503    1 3 5 3 11 49 69 61 267 241 1221 1533 
442     12      1504    1 3 3 5 17 43 27 191 201 653 933 2571 
443     12      1513    1 1 1 13 1 7 117 179 61 1003 379 2359 
444     12      1538    1 3 5 15 9 53 23 217 237 647 377 677 
445     12      1544    1 1 1 1 15 55 73 1 119 679 203 309 
446     12      1547    1 1 5 15 11 13 15 211 105 655 739 1439 
447     12      1555    1 3 5 5 9 41 87 237 65 837 1127 2539 
448     12      1574    1 1 3 9 3 57 23 55 359 909 969 1437 
449     12      1603    1 1 1 9 23 57 23 127 139 961 1985 2785 
450     12      1615    1 3 7 1 31 7 65 215 305 245 971 139 
451     12      1618    1 3 3 11 3 3 29 173 189 807 219 2807 
452     12      1629    1 3 5 7 25 39 7 157 397 773 461 3051 
453     12      1634    1 3 7 7 9 7 33 19 127 177 189 1247 
454     12      1636    1 3 5 3 5 13 77 219 339 969 1193 2545 
455     12      1639    1 3 3 13 29 45 123 9 335 985 1923 2449 
456     12      1657    1 3 1 9 7 43 29 83 153 381 1849 2563 
457     12      1667    1 3 3 1 29 31 107 151 171 137 1749 1541 
458     12      1681    1 3 7 1 13 53 27 119 295 879 1113 1293 
459     12      1697    1 1 7 9 19 25 127 215 271 521 1093 1595 
460     12      1704    1 1 5 11 11 9 35 55 447 513 1415 2427 
461     12      1709    1 3 1 5 19 19 19 111 73 895 1879 3679 
462     12      1722    1 1 7 13 13 55 65 131 461 775 1817 1795 
463     12      1730    1 3 7 9 31 41 119 75 419 319 1463 3491 
464     12      1732    1 1 7 7 27 33 71 223 381 181 541 1695 
465     12      1802    1 3 7 5 29 53 109 109 35 607 559 4045 
466     12      1804    1 3 1 13 11 9 9 91 85 41 1155 3989 
467     12      1815    1 1 3 15 23 13 3 243 443 671 1461 3329 
468     12      1826    1 1 1 1 27 25 37 153 299 51 371 1269 
469     12      1832    1 3 7 11 13 51 85 177 489 867 779 3423 
470     12      1843    1 1 7 1 25 51 105 117 105 743 67 2889 
471     12      1849    1 1 3 3 29 31 65 11 87 647 193 1229 
472     12      1863    1 3 5 9 19 19 19 193 441 947 1385 1321 
473     12      1905    1 1 1 9 9 31 109 77 449 775 187 2609 
474     12      1928    1 1 1 13 31 57 121 251 9 673 473 755 
475     12      1933    1 3 3 7 25 21 93 183 277 167 1305 897 
476     12      1939    1 1 5 5 29 15 29 67 193 525 851 2287 
477     12      1976    1 1 5 9 7 53 117 203 89 221 235 2783 
478     12      1996    1 3 5 13 7 25 69 25 329 151 1721 1279 
479     12      2013    1 1 1 7 15 9 119 75 95 297 1149 1385 
480     12      2014    1 3 3 15 23 1 109 81 249 189 737 1809 
481     12      2020    1 1 7 5 29 53 77 79 339 625 1131 2539 
482     13      13      1 1 7 15 23 35 39 25 287 321 151 193 6637 
483     13      19      1 3 5 9 15 31 31 111 393 97 407 1087 1413 
484     13      26      1 1 1 13 21 63 71 193 443 541 1989 2979 7087 
485     13      41      1 3 3 1 11 41 19 219 497 273 1293 2233 2967 
